Food Categories ,Measure,Calories
Whole Milk,225 ml (1 cup),150
Paneer (Whole Milk),60 gms,150
Butter,1 tbsp,45
Ghee,1 tbsp,45
Apple,1 small,50 - 60
Banana,1/2 medium,50 - 60
Grapes,15 small,50 - 60
Mango,1/2 small,50 - 60
Musambi,1 medium,50 - 60
Orange,1 medium,50 - 60
Cooked Cereal,1/2 cup,80
Rice Cooked,25 gms,80
Chapatti,1 medium,80
Potato,1 medium,80
Dal,1 large katori,80
Mixed Vegetables,150 gms,80
Fish,50 gms,55
Mutton,1 oz,75
Egg,1 item,75
Biscuit (Sweet),15 gms,70
Cake (Plain),50 gms,135
Cake (Rich Chocolate),50 gms,225
Dosa (Plain),1 medium,135
Dosa (Masala),1 medium,250
Pakoras,50 gms,175
Puri,1 large,85
Samosa,1 piece,140
Vada (Medu),1 small,70
Biryani (Mutton),1 cup,225
Biryani (Veg.),1 cup,200
Curry (Chicken),100 gms,225
Curry (Veg.),100 gms,130
Fried Fish,85 gms,140
Pulav (Veg.),100 gms,130
Carrot Halwa,45 gms,165
Jalebi,20gms,100
Kheer,100 gms,180
Rasgulla,50 gms,140
Beer,125 fl. oz,150
